Generation,Strategy,Fitness,Score,Survival,Cost,Runtime_s,Steps,Operation
1,No Evolution (Single-Shot LLM),6.33,2.1,52.8,52.8,0.278,9,
1,Random,13.88,26,8.8,8.8,0.278,9,AST: swapped statements at positions 5/6
1,LLM-Guided,13.88,26,8.8,8.8,0.278,9,VDB retrieval fitness=13.9: AST: swapped statements at positions 5/6 
2,No Evolution (Single-Shot LLM),6.33,0,0,0,0.435,9,
2,Random,28.75,37.5,100,100,0.435,9,Template substitution from predefined library
2,LLM-Guided,28.75,37.5,100,100,0.435,9,VDB retrieval fitness=28.8: Template substitution from predefined library 
3,No Evolution (Single-Shot LLM),6.33,0,0,0,0.222,9,
3,Random,28.75,0,0,0,0.222,9,
3,LLM-Guided,28.75,0,0,0,0.222,9,
4,No Evolution (Single-Shot LLM),6.33,0,0,0,0.028,9,
4,Random,28.75,0,0,0,0.028,9,
4,LLM-Guided,28.75,0,0,0,0.028,9,
5,No Evolution (Single-Shot LLM),6.33,0,0,0,0.84,9,
5,Random,28.75,0,0,0,0.84,9,
5,LLM-Guided,28.75,0,0,0,0.84,9,
